origin,desc_1,desc_3,roast,agtron
"Doi Chang, Chiang Rai Province, Thailand","Sweet-toned, chocolaty. Baking chocolate, persimmon, brown sugar, orange zest, oak in aroma and cup. Briskly sweet acidity; velvety-smooth mouthfeel. Crisply chocolaty finish with hints of orange zest.","A nicely balanced, richly sweet Thailand-grown coffee with crisp chocolate notes supported by citrus zest and aromatic wood.Explore Similar CoffeesClick here for more reviews from Bluekoff CompanyClick here for more information about coffees from ThailandVisit Bluekoff Company ",Medium-Light,56/72
"Holualoa, North Kona growing district, “Big Island” of Hawai’i","Balanced, richly fruity, floral-toned. Mulberry, dark chocolate, almond brittle, wisteria, tangerine zest in aroma and cup. Sweetly tart structure with bright acidity; full, syrupy mouthfeel. Chocolaty, berry-driven finish with notes of almond brittle and tangerine zest.","A fruit-forward, sweetly tart natural-processed Kona cup with undertones of sweet florals and richly bittersweet citrus zest, bound together by deep chocolate notes.Explore Similar CoffeesClick here for more reviews from Hula Daddy Kona CoffeeClick here for more information about coffees from HawaiiVisit Hula Daddy Kona Coffee ",Medium-Light,58/66
"Nyeri growing region, south-central Kenya","Richly sweet, deeply savory, juicy-bright. Blackberry, finger lime, dark chocolate, fresh-cut cedar, star jasmine in aroma and cup. Balanced, sweet-savory structure with high-toned acidity; plush, viscous mouthfeel. The long finish is richly floral with undertones of dark chocolate and lime.",This lush Kenya displays dark berry and deep chocolate notes elegantly juxtaposed with spicy florals and bittersweet citrus zest. Explore Similar CoffeesClick here for more reviews from Nostalgia Coffee RoastersClick here for more information about coffees from KenyaVisit Nostalgia Coffee Roasters ,Medium-Light,58/77
"Kiambu County, Kenya","Richly sweet-savory, deep-toned. Red currant, cola, dark chocolate, bay leaf, violet in aroma and cup. Bright, juicy acidity; very full, syrupy smooth mouthfeel. Resonant, integrated finish centered around notes of red currant and dark chocolate.","A juicy, deep, complex Kenya cup with characteristic currant and cola notes, complicated by sweet herb and rich chocolate throughout the profile.Explore Similar CoffeesClick here for more reviews from Barrington Coffee Roasting Co.Click here for more information about coffees from KenyaVisit Barrington Coffee Roasting Co. ",Medium-Light,60/78
"Circasia, Quindio, Colombia","Sweetly spice-toned, uniquely composed. Szechuan peppercorn, lemon balm, dark chocolate, lavender, date in aroma and cup. Winy acidity; crisp, syrupy mouthful. Chocolaty, spice-toned finish.",A wild ride of a coffee with distinct notes of peppercorn (the coffee was co-fermented with aji chili) that’s also a fruity and fun carbonic-macerated cup.Explore Similar CoffeesClick here for more reviews from Barrington Coffee Roasting Co.Click here for more information about coffees from ColombiaVisit Barrington Coffee Roasting Co. ,Light,62/80
"Chiapas, Mexico","Delicately fruit-toned, crisply chocolaty. Raspberry, baking chocolate, pralines, cedar, orange zest in aroma and cup. Briskly sweet acidity; full, satiny-smooth mouthfeel. The finish is chocolaty and berry-toned.","A pretty natural-processed Mexico, berry-driven with a throughline of baking chocolate and citrus zest.Explore Similar CoffeesClick here for more reviews from Nostalgia Coffee RoastersClick here for more information about coffees from MexicoVisit Nostalgia Coffee Roasters ",Medium-Light,60/78
"Chelbessa, Gedeb, Yirgacheffe, south-central Ethiopia","A classic Yirgacheffe cup, balanced and bright, with notes of stone fruit, cocoa nib, and citrus throughout — harmonious, integrated, and lyrically juicy.","A classic Yirgacheffe cup, balanced and bright, with notes of stone fruit, cocoa nib, and citrus throughout — harmonious, integrated, and lyrically juicy.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from EthiopiaVisit JBC Coffee Roasters ",Medium-Light,60/76
"Chelchele, Gedeb District, Gedeo Zone, Ethiopia","High-toned, fruit-forward. Dried mango, cocoa nib, lemongrass, sandalwood, magnolia in aroma and cup. Balanced, sweetly tart structure with juicy acidity; plush, syrupy mouthfeel. The harmonious finish leads with magnolia and mango notes with sandalwood undertones."," A multi-layered, very fruity natural Ethiopia cup with notes of dried mango, sweet herbs and rich aromatic wood throughout.Explore Similar CoffeesClick here for more reviews from Buon CaffeClick here for more information about coffees from EthiopiaVisit Buon Caffe ",Medium-Light,59/76
"Tarrazú, Costa Rica","Sweetly tart, very fruity. Watermelon candy, dried lychee, cocoa nib, oak, Meyer lemon zest in aroma and cup. Lively, bright acidity; crisp, satiny mouthfeel. Very long, flavor-laden, rich-toned finish.","A decadently fruit-forward natural-processed Costa Rica with notes of both tropical fruit and fruit candy, with ballast from crisp cocoa nib and citrus zest.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from Costa RicaVisit JBC Coffee Roasters ",Medium-Light,59/77
"Huila, Colombia","Floral-toned, sweetly tart. Strawberry, guava, dark chocolate, star jasmine zest, honey, lemon thyme in aroma and cup. Sweetly tart with juicy-bright acidity; full, syrupy mouthfeel. Delicately floral finish with undertones of deep chocolate.","A complex, confident anaerobic honey-processed Colombia, richly floral with a dark chocolate throughline.Explore Similar CoffeesClick here for more reviews from Buon CaffeClick here for more information about coffees from ColombiaVisit Buon Caffe ",Medium-Light,63/71
"Murata, Kayanza, Burundi","Richly fruit-toned. Blackberry jam, dark chocolate, marjoram, freesia, fresh-cut oak in aroma and cup. Sweetly tart with fruity acidity; crisp, satiny mouthfeel. Finish consolidates to notes of blackberry and marjoram.",A berry-driven natural-processed Burundi with undertones of dark chocolate and spicy florals.Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from BurundiVisit JBC Coffee Roasters ,Medium-Light,57/75
"Sidamo growing region, south-central Ethiopia","Spice-toned, balanced. Nutmeg, lemon balm, jasmine, fig, fir in aroma and cup. Brisk acidity; crisply velvety mouthfeel. Wood-framed, lemony finish with undertones of fig.","A smooth, balanced cup with a sweetly herbaceous and floral profile.Explore Similar CoffeesClick here for more reviews from Dean's BeansClick here for more information about coffees from Ethiopia ",Medium-Light,58/74
"Nyeri growing region, south-central Kenya","Intensely aromatic, delicately fruit-forward. Milk chocolate, orange zest, cedar, candied apple, hint of narcissus in aroma and cup. Gently brisk acidy; full, syrupy mouthfeel. Fruit-toned chocolate in the crisp finish. ","An unusual Kenya in that it’s natural-processed (dried in the whole fruit), a departure from the country’s typical washed processing: richly aromatic and fruit-driven.Explore Similar CoffeesClick here for more reviews from Fulcrum Coffee RoastersClick here for more information about coffees from Kenya ",Medium-Light,60/77
"Aleta Wendo, Sidamo growing region, south-central Ethiopia","Citrusy, floral-toned. Mandarin orange, tea rose, blackberry, cashew, fir in aroma and cup. Gentle, mild acidity; silky-smooth mouthfeel. Gently drying finish with notes of orange and fir.","A delicate, multi-layered washed Ethiopia with leading notes of sweet citrus and spice-toned florals.Explore Similar CoffeesClick here for more reviews from Noble Coffee RoastingClick here for more information about coffees from Ethiopia ",Medium-Light,59/73
"Cajamarca, Peru","Gently floral, fruity. Magnolia, blueberry, hazelnut, baking chocolate, Graham cracker in aroma and cup. Winy acidity; crisply satiny mouthfeel. The quiet finish leads with notes of magnolia and hazelnut.","A natural-processed Peru Gesha with berry-like sweetness, jammy and floral.Explore Similar CoffeesClick here for more reviews from Amavida Coffee RoastersClick here for more information about coffees from PeruVisit Amavida Coffee Roasters ",Medium-Light,61/77
"Northern Province, Gakenke District, Ruli, Rwanda","Lively, fruit- and spice-toned. Persimmon, black cherry, cinnamon, violet, cedar in aroma and cup. Brightly sweet-tart structure with lightly satiny mouthfeel. Finish reminiscent of baking spices with black cherry undertones.","A sweetly spice-toned Rwanda cup with penetrating, yet balanced, acidity.Explore Similar CoffeesClick here for more reviews from Three Keys CoffeeClick here for more information about coffees from Rwanda ",Medium-Light,57/75
"Todos Santos Cuchumatan, Huehuetenango, Guatemala","Sweetly nutty. Almond, green grape, star anise, caramel, buttered toast in aroma and cup. Gentle, balanced acidity; very syrupy mouthfeel. Green grape and caramel notes are front and venter in the crisp finish.","A familiar, pleasing cup: caramelly and nut-toned, complicated by star anise tones.Explore Similar CoffeesClick here for more reviews from Wonderstate CoffeeClick here for more information about coffees from GuatemalaShop for Wonderstate Coffee at Trade Coffee Co ",Medium-Light,62/77
"Sidamo growing region, south-central Ethiopia","Delicately sweet, berry-toned. Strawberry, honey roasted nuts, Ruby Port, balsa in aroma and cup. Sweetly brisk acidity; velvety mouthfee. Long, crisp finish with lingering berry and nut tones.   ","A pretty, nimble natural-processed Ethiopia with hints of dessert wine as a subtle throughline.Explore Similar CoffeesClick here for more reviews from Red Rock Coffee RoastersClick here for more information about coffees from Ethiopia ",Medium-Light,57/74
"Aceh Province, Gayo Highlands, Sumatra, Indonesia","Deep-toned, straightforward and savory-leaning. Fresh humus, cocoa powder, gardenia extract, pecan, fir in aroma and cup. Savory, low-toned acidity; crisply satiny mouthfeel. Gently drying finish centered around notes of fresh humus, pecan and fir.","This Sumatra displays the origin’s characteristically earthy notes — sweetly savory, low-toned and deep.Explore Similar CoffeesClick here for more reviews from Colectivo CoffeeClick here for more information about coffees from Sumatra ",Medium-Light,55/76
Colombia,"Muted, crisply chocolaty. Baking chocolate, graphite, cashew, lily, brown sugar in aroma and cup. Sharp acidity; light-bodied mouthfeel. Finish consolidates to notes of graphite and brown sugar.",A sweet but thin washed Colombia cup with muted notes of baking chocolate and cashew with savory undertones.Explore Similar CoffeesClick here for more reviews from Allegro Coffee RoastersClick here for more information about coffees from Colombia ,Medium-Light,60/66
Ethiopia,"Staunchly dark roasted, somewhat smoky. Carob, walnut, scorched fir, lily, stale raisin in aroma and cup. Harsh acidity; thin mouthfeel. Ashy finish with only slight sweetness.","A smoky-sweet, unintegrated darker-roasted Ethiopia with notes of carob and scorched wood.Explore Similar CoffeesClick here for more reviews from Trader Joe'sClick here for more information about coffees from Ethiopia ",Medium,45/63
Colombia,"Simple, sweet, lean. Salted caramel, wheat toast, green bean, vanilla extract, plywood in aroma and cup. Flat acidity; rough mouthfeel. Sweet-savory finish with notes of salted caramel and green bean.","An uninspired, savory-leaning Colombia with offputting vegetal notes and muted sweetness.Explore Similar CoffeesClick here for more reviews from Whole Foods Market ",Medium,49/69
"Corquin, Honduras","Plushly nut-toned, richly aromatic. Hazelnut butter, date, maple syrup, pink grapefruit zest, hint of bay leaf in aroma and cup. Balanced, even-keeled acidity; crisp, satiny-smooth mouthfeel. Hazelnut notes foreground the gentle finish.",Distinct hazelnut notes are front and center in this Honduras Parainema cup supported by citrus zest and sweet herbs.Explore Similar CoffeesClick here for more reviews from Temple CoffeeClick here for more information about coffees from HondurasVisit Temple Coffee ,Medium-Light,58/75
"Tarrazu, Costa Rica","Delicately sweet, floral-toned. Narcissus, almond, bergamot, cherry, cedar in aroma and cup. Bright, juicy acidity; syrupy-smooth mouthfeel. Floral, nut-toned finish. ","A confident, multi-layered Costa Rica cup driven by spice-toned floral notes, stone fruit and bittersweet citrus.Explore Similar CoffeesClick here for more reviews from Kafe Coffee RoasteryClick here for more information about coffees from Costa RicaVisit Kafe Coffee Roastery ",Light,63/79
"South Kivu, Democratic Republic of the Congo","Evaluated as espresso. Very fruit-sweet, spice-toned. Mulberry, clove, cocoa powder, almond, daffodil in aroma and small cup. Lightly satiny mouthfeel; fruity, spice-toned finish.","An exceptionally sweet, fruit-driven DR Congo roasted for espresso with dark berry and baking spices as aroma and flavor anchors.Explore Similar CoffeesClick here for more reviews from Temple CoffeeVisit Temple Coffee ",Medium-Light,54/70
Guatemala; Indonesia; Ethiopia,"Evaluated as espresso. Crisply chocolaty, fruit-toned. Baking chocolate, raspberry, Graham cracker, orange zest, fir in aroma and small cup. Velvety-smooth mouthfeel; chocolaty finish with undertones of orange zest. In three parts milk, baking chocolate presides, supported by notes of Graham cracker and fir.",A chocolate-driven espresso with berry notes throughout the straight shot and in cappuccino format — sweetly tart and framed by rich aromatic wood.Explore Similar CoffeesClick here for more reviews from Kafe Coffee RoasteryVisit Kafe Coffee Roastery ,Medium-Light,58/74
"Ka‘ū and Kona growing regions, Big Island of Hawai’i","Evaluated as espresso. Balanced, chocolaty, and richly fruit-forward. Dried pineapple, dark chocolate, hazelnut brittle, magnolia, tangerine zest in aroma and small cup. Creamy mouthfeel; crisply chocolaty finish with tropical fruit undertones. In three parts milk, dark chocolate predominates, supported by tangerine zest and pineapple notes.","A richly chocolaty, deeply fruity, tropical-leaning, flavor-saturated Hawai’i espresso.Explore Similar CoffeesClick here for more reviews from Paradise RoastersVisit Paradise Roasters ",Medium-Light,52/70
"Carmo de Mata, Campo das Vertentes, Minas Gerais, Brazil","Fruity, sweetly tart. Fruit Loops, pomegranate juice, cashew, lemon verbena, cedar in aroma and cup. Brisk acidity; velvety-smooth mouthfeel. Quietly fruit-forward, crisply nutty finish.","A subtle anaerobic natural Brazil with complex fruit, richly sweet nut tones and delicate herb notes throughout.Explore Similar CoffeesClick here for more reviews from Pinup Coffee Co.Click here for more information about coffees from Brazil ",Medium-Light,52/70
Ethiopia; Kenya; Brazil,"Crisply sweet-savory. Toffee, pomegranate, cedar, hazelnut, candied violet in aroma and cup. Richly bittersweet structure with brisk acidity; syrupy-smooth mouthfeel. The crisp finish consolidates to notes of pomegranate and hazelnut.","A richly aromatic, flavor-laden blend with notes of tart fruit and sweet florals, balanced by rich nut and aromatic wood tones.Explore Similar CoffeesClick here for more reviews from Coffeebox Coffee ",Medium-Light,54/72
Colombia; Ethiopia,"Floral-driven, crisply bright. Lilac, apricot, cocoa nib, tangerine zest, maple syrup in aroma and cup. Sweetly tart structure with high-toned acidity; lightly satiny mouthfeel. The finish leads with notes of lilac and apricot with undertones of cocoa nib.","A balanced, sweetly-tart Colombia-Ethiopia blend with sweet floral and bright stone fruit notes.Explore Similar CoffeesClick here for more reviews from Coffeebox Coffee ",Light,65/82
"Santa Elena Province, Ecuador","Complex, multi-layered. Pomegranate, red wine barrel, rhododendron, kefir, kumquat in aroma and cup. Brisk acidity; full, syrupy-smooth mouthfeel. Finish leads with notes of wine barrel and kefir. ","An anaerobic natural Ecuador characterized by tart fruit, sweet floral and rich bittersweet citrus notes — intentional sweet ferment adds depth and complexity.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from EcuadorVisit Paradise Roasters ",Medium-Light,54/72
Brazil; Ethiopia; Colombia,"Sweetly roast-rounded. Cocoa powder, gently scorched oak, gardenia, raisin, vanilla bean in aroma and cup. Gentle, round acidity; full, creamy mouthfeel. Gently drying finish with notes of cocoa powder and scorched oak.","A darker-roasted blend for those who like full-bodied, slightly roasty profiles, and a good choice if you add milk to your cup.Explore Similar CoffeesClick here for more reviews from Pinup Coffee Co. ",Medium,46/65
Not disclosed,"Brewed in a Toddy Small-Batch Artisan Brewer and evaluated chilled. Rich-toned, chocolaty. Dark chocolate syrup, dried plum, lily, almond brittle, gently scorched cedar in aroma and cup. Crisp, viscous mouthfeel; crisply chocolaty finish with undertones of smoky cedar. With milk, chocolate-saturated, complicated by scorched cedar and fried plum notes.","A rich-toned blend roasted for homemade cold brew, especially appealing in milk.Explore Similar CoffeesClick here for more reviews from Pinup Coffee Co. ",Medium,50/64
Colombia; Ethiopia; Brazil,"Crisp, chocolaty, sweetly nut-toned. Baking chocolate, hazelnut, rhododendron, date, gently scorched fir in aroma and cup. Gentle, round acidity; full, creamy mouthfeel. Gently drying, nut-toned, wood-framed finish. ","A chocolaty, richly nut-toned, accessible blend with hints of appealing roast-rounded smokiness.Explore Similar CoffeesClick here for more reviews from Coffeebox Coffee ",Medium,46/60
"Kiambu growing region, south-central Kenya","Richly sweet-savory, deep-toned. Ripe tomato, cocoa nib, black currant, bay leaf, pink grapefruit zest in aroma and cup. High-toned, juicy acidity; very full, syrupy mouthfeel. Resonant finish that carries over all the aromas and flavors of the cup.","An exhilarating, umami-driven Kenya cup with classic notes of ripe tomato, cocoa nib and sweet citrus, complicated by complex sweet herb notes.Explore Similar CoffeesClick here for more reviews from Kakalove CafeClick here for more information about coffees from KenyaVisit Kakalove Cafe ",Medium-Light,57/77
"El Aguacatal, Hoja Blanca, Cuilco, Huehuetenango, Guatemala","Complexly fruity, cocoa-toned. Boysenberry, pomelo, cocoa nib, cedar, frankincense in aroma and cup. Sweet-tart acidity; full, creamy mouthfeel. Deeply fruity finish with cocoa nib undertones."," It’s unusual to find a natural-processed Maragoype, and this Guatemala is a fruit bomb restrained only by cocoa nib; especially creamy, rich mouthfeel.Explore Similar CoffeesClick here for more reviews from Big Shoulders CoffeeClick here for more information about coffees from GuatemalaVisit Big Shoulders Coffee ",Medium-Light,60/76
"Guji Zone, Oromia Region, southern Ethiopia","High-toned, fruit-driven. Mulberry, cocoa nib, tangerine zest, pink peppercorn, agave syrup in aroma and cup. Sweetly tart structure with juicy-bright acidity; viscous, velvety mouthfeel. The finish consolidates to notes of mulberry and tangerine zest with undertones of pink peppercorn.",A uniquely composed cup — think mulberry and pink peppercorn — with a crisp cocoa throughline.Explore Similar CoffeesClick here for more reviews from Kakalove CafeClick here for more information about coffees from EthiopiaVisit Kakalove Cafe ,Medium-Light,58/76
"Santo Tomas, El Salvador","Evaluated as espresso. Richly sweet, spice-toned. Dark caramel, clove, black cherry, magnolia, lemon verbena in aroma and small cup. Crisp, satiny mouthfeel; caramel-toned finish with magnolia undertones. In cappuccino format, caramel and clove take center stage with support from lemon verbena.","A harmonious, integrated washed El Salvador, roasted for espresso applications, characterized by rich caramel, dark stone fruit and warming spices.Explore Similar CoffeesClick here for more reviews from RamsHead Coffee RoastersClick here for more information about coffees from El SalvadorVisit RamsHead Coffee Roasters ",Medium-Light,54/70
"Pichincha, Ecuador","Delicately fruit-toned. Sweetly herbaceous. Lychee, star anise, lemon balm, oak, freesia in aroma and cup. Gentle, round acidity; full, syrupy-smooth mouthfeel. Finish consolidates to lychee and anise.",An inviting honey-processed Ecuador that leads with tropical fruit and spicy floral notes with spice undertones. Explore Similar CoffeesClick here for more reviews from Big Shoulders CoffeeClick here for more information about coffees from EcuadorVisit Big Shoulders Coffee ,Medium-Light,61/77
"Gedeo Zone, SNNPR, southern Ethiopia","Delicate, richly complex. Narcissus, raspberry, cocoa nib, cedar, myrrh in aroma and cup. Richly sweet structure with bright, balanced acidity; elegant, silky mouthfeel. Floral finish with a cocoa throughline.","Powerfully elegant, this floral-toned natural-processed Ethiopia is rich-toned and multi-layered, supported by berry and myrrh.Explore Similar CoffeesClick here for more reviews from Kakalove CafeClick here for more information about coffees from EthiopiaVisit Kakalove Cafe ",Medium-Light,60/78
"Yirgacheffe growing region, south-central Ethiopia","Fruit-driven, richly cocoa-toned. Nectarine, dark chocolate, violet, pink grapefruit zest, graphite in aroma and cup. Sweetly tart acidity; very full, viscous mouthfeel. Resonant, long, flavor-saturated finish.","A high-toned, deep, complex washed Ethiopia with pretty stone fruit and rich chocolate notes and an especially saturated finish.Explore Similar CoffeesClick here for more reviews from Roadmap CoffeeWorksClick here for more information about coffees from EthiopiaVisit Roadmap CoffeeWorks ",Light,62/80
